Description,Manufacturer,Manufacturer Part Number,Digi-Key Part Number,Unit Price,Quantity,Total Price
RASPBERRY PI PICO W RP2040,Raspberry Pi,SC0918,2648-SC0918CT-ND,8.6,1,21.56
WR-PHD 2.54 MM DUAL SOCKET HEADE,Würth Elektronik,61300621821,732-61300621821-ND,0.59,1,
CONN HDR 20POS 0.1 TIN PCB,Sullins Connector Solutions,PPTC201LFBN-RC,S7018-ND,1.78,4,
CONN HEADER VERT 20POS 2.54MM,Adam Tech,PH1-20-UA,2057-PH1-20-UA-ND,0.46,2,
CONN RCPT TYPE C 6P SMD RA,GCT,USB4125-GF-A,2073-USB4125-GF-ACT-ND,0.96,1,
"6 X 6 MM, 7 MM ACTUATOR HEIGHT,",CUI Devices,TS02-66-70-BK-160-LCR-D,2223-TS02-66-70-BK-160-LCR-D-ND,0.15,1,
DIODE SCHOTTKY 20V 2A SOD123F,Nexperia USA Inc.,"PMEG2020EH,115",1727-3862-1-ND,0.67,1,
SWITCH SLIDE SPDT 200MA 30V,E-Switch,EG1218,EG1903-ND,1.06,1,
IC REG LINEAR 3.3V 1A SOT223,Diodes Incorporated,AZ1117IH-3.3TRG1,AZ1117IH-3.3TRG1DICT-ND,0.58,1,
CAP CER 10UF 25V X5R 0805,Samsung Electro-Mechanics,CL21A106KAYNNNE,1276-2891-1-ND,0.26,1,
CAP CER 22UF 25V X5R 0805,Samsung Electro-Mechanics,CL21A226MAYNNNE,1276-CL21A226MAYNNNECT-ND,0.36,1,
LED GREEN CLEAR 0805 SMD,Würth Elektronik,150080VS75000,732-4986-1-ND,0.29,1,
